Year,Mes,Residuo,Peso
2020,Enero,Tetrapak,14.5
2020,Febrero,Tetrapak,0
2020,Marzo,Tetrapak,
2020,Abril,Tetrapak,
2020,Mayo,Tetrapak,
2020,Junio,Tetrapak,23
2020,Julio,Tetrapak,1
2020,Agosto,Tetrapak,1
2020,Septiembre,Tetrapak,10.5
2020,Octubre,Tetrapak,1
2020,Noviembre,Tetrapak,0.5
2020,Diciembre,Tetrapak,
2017,Enero,PET,0
2017,Febrero,PET,0
2017,Marzo,PET,0
2017,Abril,PET,55.5
2017,Mayo,PET,57.9
2017,Junio,PET,80.1
2017,Julio,PET,37.7
2017,Agosto,PET,76.5
2017,Septiembre,PET,87.1
2017,Octubre,PET,356.1
2017,Noviembre,PET,141.9
2017,Diciembre,PET,650
2018,Enero,PET,
2018,Febrero,PET,737.3
2018,Marzo,PET,1307.3
2018,Abril,PET,1050.4
2018,Mayo,PET,701.8
2018,Junio,PET,723.6
2018,Julio,PET,1254.2
2018,Agosto,PET,1000.9
2018,Septiembre,PET,
2018,Octubre,PET,
2018,Noviembre,PET,
2018,Diciembre,PET,
2019,Enero,PET,
2019,Febrero,PET,
2019,Marzo,PET,
2019,Abril,PET,
2019,Mayo,PET,12
2019,Junio,PET,55
2019,Julio,PET,126.4
2019,Agosto,PET,116.9
2019,Septiembre,PET,76.5
2019,Octubre,PET,51
2019,Noviembre,PET,129
2019,Diciembre,PET,49
2020,Enero,PET,92
2020,Febrero,PET,101.5
2020,Marzo,PET,
2020,Abril,PET,
2020,Mayo,PET,
2020,Junio,PET,375.8
2020,Julio,PET,417
2020,Agosto,PET,274.5
2020,Septiembre,PET,110
2020,Octubre,PET,90
2020,Noviembre,PET,93.5
2020,Diciembre,PET,
2017,Enero,PEHD,0
2017,Febrero,PEHD,0
2017,Marzo,PEHD,0
2017,Abril,PEHD,0
2017,Mayo,PEHD,0
2017,Junio,PEHD,76.4
2017,Julio,PEHD,55
2017,Agosto,PEHD,0
2017,Septiembre,PEHD,74.3
2017,Octubre,PEHD,51.8
2017,Noviembre,PEHD,11
2017,Diciembre,PEHD,432.6
2018,Enero,PEHD,
2018,Febrero,PEHD,0
2018,Marzo,PEHD,0
2018,Abril,PEHD,0
2018,Mayo,PEHD,0
2018,Junio,PEHD,0
2018,Julio,PEHD,0
2018,Agosto,PEHD,0
2018,Septiembre,PEHD,
2018,Octubre,PEHD,
2018,Noviembre,PEHD,
2018,Diciembre,PEHD,
2019,Enero,PEHD,
2019,Febrero,PEHD,
2019,Marzo,PEHD,
2019,Abril,PEHD,
2019,Mayo,PEHD,22
2019,Junio,PEHD,0
2019,Julio,PEHD,0
2019,Agosto,PEHD,0
2019,Septiembre,PEHD,0
2019,Octubre,PEHD,0
2019,Noviembre,PEHD,0
2019,Diciembre,PEHD,0
2020,Enero,PEHD,0
2020,Febrero,PEHD,0
2020,Marzo,PEHD,
2020,Abril,PEHD,
2020,Mayo,PEHD,
2020,Junio,PEHD,0
2020,Julio,PEHD,0
2020,Agosto,PEHD,0
2020,Septiembre,PEHD,0
2020,Octubre,PEHD,0
2020,Noviembre,PEHD,0
2020,Diciembre,PEHD,
2017,Enero,PEBD,0
2017,Febrero,PEBD,0
2017,Marzo,PEBD,0
2017,Abril,PEBD,0
2017,Mayo,PEBD,0
2017,Junio,PEBD,0
2017,Julio,PEBD,0
2017,Agosto,PEBD,0
2017,Septiembre,PEBD,0
2017,Octubre,PEBD,0
2017,Noviembre,PEBD,0
2017,Diciembre,PEBD,0
2018,Enero,PEBD,
2018,Febrero,PEBD,481.6
2018,Marzo,PEBD,501
2018,Abril,PEBD,305.6
2018,Mayo,PEBD,199.9
2018,Junio,PEBD,120.2
2018,Julio,PEBD,459
2018,Agosto,PEBD,252.8
2018,Septiembre,PEBD,
2018,Octubre,PEBD,
2018,Noviembre,PEBD,
2018,Diciembre,PEBD,
2019,Enero,PEBD,
2019,Febrero,PEBD,
2019,Marzo,PEBD,
2019,Abril,PEBD,
2019,Mayo,PEBD,0
2019,Junio,PEBD,1.2
2019,Julio,PEBD,11.5
2019,Agosto,PEBD,0
2019,Septiembre,PEBD,10
2019,Octubre,PEBD,0
2019,Noviembre,PEBD,0
2019,Diciembre,PEBD,0
2020,Enero,PEBD,0
2020,Febrero,PEBD,0
2020,Marzo,PEBD,
2020,Abril,PEBD,
2020,Mayo,PEBD,
2020,Junio,PEBD,0
2020,Julio,PEBD,0
2020,Agosto,PEBD,0
2020,Septiembre,PEBD,0
2020,Octubre,PEBD,0
2020,Noviembre,PEBD,0
2020,Diciembre,PEBD,
2017,Enero,PEAD,0
2017,Febrero,PEAD,0
2017,Marzo,PEAD,0
