Year,Mes,Residuo,Peso
2020,Febrero,Archivos,0
2020,Marzo,Archivos,
2020,Abril,Archivos,
2020,Mayo,Archivos,
2020,Junio,Archivos,6
2020,Julio,Archivos,4
2020,Agosto,Archivos,8
2020,Septiembre,Archivos,0
2020,Octubre,Archivos,12
2020,Noviembre,Archivos,0
2020,Diciembre,Archivos,
